Frame Index,Min,Median,Max,NegCount,ZeroCount,PosCount,Dominant Event,Cumsum,EXP
241,-0.07407408,-0.018518519,0.009259259,7067,2135,14,-0.018518519,-0.19444444200000266,0.9608948824769855
242,-0.07407408,-0.018518519,0.009259259,7145,2063,8,-0.018518519,-0.21296296100000234,0.9572213803601618
243,-0.092592604,-0.018518519,0.009259259,7087,2127,2,-0.018518519,-0.23148148000000202,0.9535566246729796
244,-0.08333334,-0.018518519,0.009259259,7240,1972,4,-0.018518519,-0.2499999990000017,0.9499005945906163
245,-0.092592604,-0.018518519,0.0,7298,1918,0,-0.018518519,-0.26851851800000137,0.9462532693378313
246,-0.0925926,-0.018518519,0.0,7440,1776,0,-0.018518519,-0.28703703700000105,0.9426146281888497
247,-0.101851866,-0.018518519,0.0,7492,1724,0,-0.018518519,-0.3055555560000007,0.9389846504672427
248,-0.101851866,-0.018518519,0.0,7558,1658,0,-0.018518519,-0.3240740750000004,0.9353633155458121
249,-0.11111112,-0.018518519,0.009259259,7650,1559,7,-0.018518519,-0.3425925940000001,0.9317506028464715
250,-0.11111113,-0.018518519,0.0,7745,1471,0,-0.018518519,-0.36111111299999976,0.9281464918401298
251,-0.1388889,-0.027777778,0.0,7839,1377,0,-0.027777778,-0.3888888909999997,0.9227564088147113
252,-0.13888888,-0.027777778,0.0,7969,1247,0,-0.027777778,-0.4166666689999996,0.9173855646136786
253,-0.13888888,-0.027777778,0.0,8123,1093,0,-0.027777778,-0.4444444469999995,0.9120338905678921
254,-0.12962964,-0.027777778,0.0,8198,1018,0,-0.027777778,-0.47222222499999944,0.9067013182533128
255,-0.14814813,-0.037037037,0.0,8130,1086,0,-0.037037037,-0.5092592619999996,0.8996208178949628
256,-0.1574074,-0.037037037,0.0,8178,1038,0,-0.037037037,-0.5462962989999998,0.8925739940499209
257,-0.16666667,-0.037037037,0.0,8197,1019,0,-0.037037037,-0.5833333359999999,0.885560686544825
258,-0.16666667,-0.0462963,0.0,8218,998,0,-0.0462963,-0.6296296359999998,0.8768409410310322
259,-0.17592593,-0.0462963,0.0,8271,945,0,-0.0462963,-0.6759259359999996,0.8681730060960815
260,-0.18518518,-0.0462963,0.0,8263,953,0,-0.0462963,-0.7222222359999995,0.8595565738942823
261,-0.17592594,-0.0462963,0.0,8247,969,0,-0.0462963,-0.7685185359999993,0.8509913384090873
262,-0.20370372,-0.05555556,0.0,8219,997,0,-0.05555556,-0.8240740959999995,0.8407802073089699
263,-0.18518521,-0.05555556,0.0,8240,976,0,-0.05555556,-0.8796296559999996,0.8306418393096678
264,-0.21296297,-0.06481481,0.0,8240,976,0,-0.06481481,-0.9444444659999993,0.8189050180609657
265,-0.23148148,-0.06481481,0.0,8303,913,0,-0.06481481,-1.009259275999999,0.8072657128567731
266,-0.21296297,-0.06481482,0.0,8274,942,0,-0.06481482,-1.0740740959999986,0.7957231117060677
267,-0.20370369,-0.06481482,0.0,8342,874,0,-0.06481482,-1.1388889159999982,0.7842764129259152
268,-0.21296297,-0.06481482,0.0,8327,889,0,-0.06481482,-1.2037037359999978,0.7729248197059123
269,-0.20370369,-0.06481482,0.0,8311,905,0,-0.06481482,-1.2685185559999974,0.7616675418560013
270,-0.19444445,-0.05555556,0.0,8198,1018,0,-0.05555556,-1.3240741159999976,0.752092919713616
271,-0.18518518,-0.05555556,0.0,8204,1012,0,-0.05555556,-1.3796296759999978,0.742586524997692
272,-0.17592593,-0.0462963,0.0,8237,979,0,-0.0462963,-1.4259259759999976,0.7347162967155101
